0.100000 -0.163292 -0.166908 -0.173327 
0.200000 -0.161054 -0.166478 -0.175037 
0.300000 -0.158816 -0.164240 -0.171729 
0.400000 -0.156578 -0.160194 -0.164473 
0.500000 -0.154340 -0.154340 -0.154340 
0.600000 -0.143062 -0.135980 -0.138469 
0.700000 -0.131784 -0.121160 -0.124479 
0.800000 -0.120506 -0.109882 -0.112787 
0.900000 -0.109228 -0.102146 -0.103805 
1.000000 -0.097950 -0.097950 -0.097950 
1.100000 -0.104378 -0.093147 -0.075072 
1.200000 -0.110806 -0.093959 -0.069860 
1.300000 -0.117234 -0.100387 -0.079300 
1.400000 -0.123662 -0.112431 -0.100381 
1.500000 -0.130090 -0.130090 -0.130090 
1.600000 -0.164596 -0.183489 -0.186979 
1.700000 -0.199102 -0.227441 -0.232095 
1.800000 -0.233608 -0.261947 -0.266020 
1.900000 -0.268114 -0.287007 -0.289334 
2.000000 -0.302620 -0.302620 -0.302620 
2.100000 -0.289894 -0.302969 -0.327095 
2.200000 -0.277168 -0.296781 -0.328948 
2.300000 -0.264442 -0.284055 -0.312202 
2.400000 -0.251716 -0.264791 -0.280875 
2.500000 -0.238990 -0.238990 -0.238990 
2.600000 -0.193576 -0.166442 -0.162848 
2.700000 -0.148162 -0.107460 -0.102669 
2.800000 -0.102748 -0.062046 -0.057854 
2.900000 -0.057334 -0.030200 -0.027804 
3.000000 -0.011920 -0.011920 -0.011920 
3.100000 -0.034342 -0.013196 0.024052 
3.200000 -0.056764 -0.025046 0.024619 
3.300000 -0.079186 -0.047468 -0.004011 
3.400000 -0.101608 -0.080462 -0.055630 
3.500000 -0.124030 -0.124030 -0.124030 
3.600000 -0.199316 -0.240251 -0.243566 
3.700000 -0.274602 -0.336005 -0.340424 
3.800000 -0.349888 -0.411291 -0.415158 
3.900000 -0.425174 -0.466109 -0.468319 
4.000000 -0.500460 -0.500460 -0.500460 
4.100000 -0.473408 -0.508819 -0.563839 
4.200000 -0.446356 -0.499473 -0.572833 
4.300000 -0.419304 -0.472421 -0.536611 
4.400000 -0.392252 -0.427663 -0.464343 
4.500000 -0.365200 -0.365200 -0.365200 
4.600000 -0.249620 -0.193331 -0.165278 
4.700000 -0.134040 -0.049607 -0.012203 
4.800000 -0.018460 0.065973 0.098702 
4.900000 0.097120 0.153409 0.172111 
5.000000 0.212700 0.212700 0.212700 
5.100000 0.187558 0.197092 0.206264 
5.200000 0.162416 0.176716 0.188947 
5.300000 0.137274 0.151574 0.162276 
5.400000 0.112132 0.121666 0.127781 
5.500000 0.086990 0.086990 0.086990 
5.600000 0.038014 0.032260 0.045252 
5.700000 -0.010962 -0.019594 -0.002270 
5.800000 -0.059938 -0.068570 -0.053412 
5.900000 -0.108914 -0.114668 -0.106007 
6.000000 -0.157890 -0.157890 -0.157890 
6.100000 -0.192480 -0.219889 -0.240824 
6.200000 -0.227070 -0.268183 -0.296097 
6.300000 -0.261660 -0.302773 -0.327198 
6.400000 -0.296250 -0.323659 -0.337616 
6.500000 -0.330840 -0.330840 -0.330840 
6.600000 -0.296908 -0.289424 -0.298171 
6.700000 -0.262976 -0.251750 -0.263412 
6.800000 -0.229044 -0.217818 -0.228022 
6.900000 -0.195112 -0.187628 -0.193459 
7.000000 -0.161180 -0.161180 -0.161180 
7.100000 -0.145958 -0.123896 -0.098835 
7.200000 -0.130736 -0.097644 -0.064229 
7.300000 -0.115514 -0.082422 -0.053183 
7.400000 -0.100292 -0.078230 -0.061523 
7.500000 -0.085070 -0.085070 -0.085070 
7.600000 -0.125002 -0.144709 -0.151362 
7.700000 -0.164934 -0.194495 -0.203365 
7.800000 -0.204866 -0.234427 -0.242188 
7.900000 -0.244798 -0.264505 -0.268940 
8.000000 -0.284730 -0.284730 -0.284730 
8.100000 -0.275394 -0.284014 -0.291376 
8.200000 -0.266058 -0.278988 -0.288804 
8.300000 -0.256722 -0.269652 -0.278241 
8.400000 -0.247386 -0.256006 -0.260914 
8.500000 -0.238050 -0.238050 -0.238050 
8.600000 -0.207164 -0.203514 -0.217615 
8.700000 -0.176278 -0.170802 -0.189604 
8.800000 -0.145392 -0.139916 -0.156368 
8.900000 -0.114506 -0.110856 -0.120256 
9.000000 -0.083620 -0.083620 -0.083620 
9.100000 -0.061860 -0.034708 -0.021293 
9.200000 -0.040100 0.000628 0.018514 
9.300000 -0.018340 0.022388 0.038038 
9.400000 0.003420 0.030572 0.039515 
9.500000 0.025180 0.025180 0.025180 
9.600000 -0.020940 -0.016146 0.013157 
9.700000 -0.067060 -0.059868 -0.020798 
9.800000 -0.113180 -0.105988 -0.071802 
9.900000 -0.159300 -0.154506 -0.134970 
10.000000 -0.205420 -0.205420 -0.205420 
10.100000 -0.263526 -0.307570 -0.330238 
10.200000 -0.321632 -0.387698 -0.417921 
10.300000 -0.379738 -0.445804 -0.472249 
10.400000 -0.437844 -0.481888 -0.497000 
10.500000 -0.495950 -0.495950 -0.495950 
10.600000 -0.443946 -0.450211 -0.479757 
10.700000 -0.391942 -0.401339 -0.440734 
10.800000 -0.339938 -0.349335 -0.383806 
10.900000 -0.287934 -0.294199 -0.313896 
11.000000 -0.235930 -0.235930 -0.235930 
11.100000 -0.168264 -0.125285 -0.091245 
11.200000 -0.100598 -0.036129 0.009258 
11.300000 -0.032932 0.031537 0.071250 
11.400000 0.034734 0.077713 0.100407 
11.500000 0.102400 0.102400 0.102400 
11.600000 0.062618 0.048864 0.037906 
11.700000 0.022836 0.002204 -0.012406 
11.800000 -0.016946 -0.037578 -0.050362 
